model,field
Gemma,sample_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Llama3.1,date_collected
Llama3.1,date_received
Llama3.1,date_verified
Llama3.1,gene_symbol
Llama3.1,num_tested_genes
Llama3.1,num_variants
Llama3.1,sample_type
Llama3.1,testing_context
Gemma,analysis_type
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,num_tested_genes
Gemma,num_variants
Gemma,ordering_clinic
Gemma,reference_genome
Gemma,report_type
Gemma,sample_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Gemma,transcript_id
Gemma,zygosity
Gemma,analysis_type
Gemma,chromosome
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,exon
Gemma,gene_symbol
Gemma,hgvsc
Gemma,hgvsg
Gemma,hgvsp
Gemma,interpretation
Gemma,mafac
Gemma,mafaf
Gemma,mafan
Gemma,mega_hgvs
Gemma,num_tested_genes
Gemma,num_variants
Gemma,ordering_clinic
Gemma,reference_genome
Gemma,report_type
Gemma,sample_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Gemma,transcript_id
Gemma,type
Gemma,variant_id
Gemma,zygosity
Gemma,analysis_type
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,num_tested_genes
Gemma,num_variants
Gemma,ordering_clinic
Gemma,reference_genome
Gemma,report_type
Gemma,sample_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Llama3.1,date_verified
Llama3.1,gene_symbol
Llama3.1,ordering_clinic
Llama3.1,reference_genome
Llama3.1,report_type
Llama3.1,sample_type
Llama3.1,sequencing_scope
Llama3.1,testing_context
Llama3.1,testing_laboratory
Llama3.1,transcript_id
Llama3.1,type
Llama3.1,zygosity
Gemma,analysis_type
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,num_tested_genes
Gemma,num_variants
Gemma,ordering_clinic
Gemma,reference_genome
Gemma,report_type
Gemma,sample_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Llama3.1,analysis_type
Llama3.1,date_collected
Llama3.1,date_received
Llama3.1,date_verified
Llama3.1,num_tested_genes
Llama3.1,num_variants
Llama3.1,ordering_clinic
Llama3.1,reference_genome
Llama3.1,report_type
Llama3.1,sample_type
Llama3.1,sequencing_scope
Llama3.1,testing_context
Llama3.1,testing_laboratory
Llama3.1,interpretation
Llama3.1,analysis_type
Llama3.1,date_collected
Llama3.1,date_received
Llama3.1,date_verified
Llama3.1,num_tested_genes
Llama3.1,num_variants
Llama3.1,ordering_clinic
Llama3.1,reference_genome
Llama3.1,report_type
Llama3.1,sample_type
Llama3.1,sequencing_scope
Llama3.1,testing_context
Llama3.1,testing_laboratory
Mistral,analysis_type
Mistral,date_collected
Mistral,date_verified
Mistral,interpretation
Mistral,num_tested_genes
Mistral,num_variants
Mistral,ordering_clinic
Mistral,reference_genome
Mistral,report_type
Mistral,sequencing_scope
Mistral,testing_context
Mistral,testing_laboratory
Gemma,analysis_type
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,num_tested_genes
Gemma,num_variants
Gemma,ordering_clinic
Gemma,reference_genome
Gemma,report_type
Gemma,sample_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Llama3.1,analysis_type
Llama3.1,date_collected
Llama3.1,date_received
Llama3.1,date_verified
Llama3.1,num_tested_genes
Llama3.1,num_variants
Llama3.1,ordering_clinic
Llama3.1,reference_genome
Llama3.1,report_type
Llama3.1,sample_type
Llama3.1,sequencing_scope
Llama3.1,testing_context
Llama3.1,testing_laboratory
Llama3.1,analysis_type
Llama3.1,date_collected
Llama3.1,date_received
Llama3.1,date_verified
Llama3.1,exon
Llama3.1,mega_hgvs
Llama3.1,num_tested_genes
Llama3.1,num_variants
Llama3.1,ordering_clinic
Llama3.1,reference_genome
Llama3.1,report_type
Llama3.1,sample_type
Llama3.1,sequencing_scope
Llama3.1,testing_context
Llama3.1,testing_laboratory
Llama3.1,type
Llama3.1,zygosity
Llama3.1,analysis_type
Llama3.1,date_collected
Llama3.1,date_received
Llama3.1,date_verified
Llama3.1,num_tested_genes
Llama3.1,num_variants
Llama3.1,ordering_clinic
Llama3.1,reference_genome
Llama3.1,report_type
Llama3.1,sample_type
Llama3.1,sequencing_scope
Llama3.1,testing_context
Llama3.1,testing_laboratory
Llama3.1,analysis_type
Llama3.1,date_collected
Llama3.1,date_received
Llama3.1,date_verified
Llama3.1,num_tested_genes
Llama3.1,num_variants
Llama3.1,ordering_clinic
Llama3.1,reference_genome
Llama3.1,report_type
Llama3.1,sample_type
Llama3.1,sequencing_scope
Llama3.1,testing_context
Llama3.1,testing_laboratory
Llama3.1,analysis_type
Llama3.1,date_collected
Llama3.1,date_received
Llama3.1,date_verified
Llama3.1,num_tested_genes
Llama3.1,num_variants
Llama3.1,ordering_clinic
Llama3.1,reference_genome
Llama3.1,report_type
Llama3.1,sample_type
Llama3.1,sequencing_scope
Llama3.1,testing_context
Llama3.1,testing_laboratory
Gemma,analysis_type
Gemma,chromosome
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,exon
Gemma,hgvsc
Gemma,hgvsg
Gemma,interpretation
Gemma,mafac
Gemma,mafaf
Gemma,mafan
Gemma,mega_hgvs
Gemma,num_tested_genes
Gemma,ordering_clinic
Gemma,report_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Gemma,transcript_id
Gemma,type
Gemma,variant_id
Llama3.1,date_received
Llama3.1,gene_symbol
Llama3.1,gene_symbol
Llama3.1,ordering_clinic
Llama3.1,report_type
Llama3.1,sequencing_scope
Llama3.1,testing_context
Llama3.1,testing_laboratory
Llama3.1,transcript_id
Llama3.1,type
Llama3.1,zygosity
Llama3.1,analysis_type
Llama3.1,date_collected
Llama3.1,date_received
Llama3.1,date_verified
Llama3.1,interpretation
Llama3.1,num_tested_genes
Llama3.1,num_variants
Llama3.1,ordering_clinic
Llama3.1,reference_genome
Llama3.1,report_type
Llama3.1,sequencing_scope
Llama3.1,testing_context
Llama3.1,testing_laboratory
Gemma,analysis_type
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,num_tested_genes
Gemma,num_variants
Gemma,ordering_clinic
Gemma,reference_genome
Gemma,report_type
Gemma,sample_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Gemma,analysis_type
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,exon
Gemma,mafac
Gemma,mafan
Gemma,ordering_clinic
Gemma,report_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Gemma,transcript_id
Gemma,type
Gemma,zygosity
Llama3.1,date_verified
Llama3.1,gene_symbol
Llama3.1,gene_symbol
Llama3.1,ordering_clinic
Llama3.1,refseq_mrna
Llama3.1,report_type
Llama3.1,testing_laboratory
Llama3.1,transcript_id
Llama3.1,type
Llama3.1,zygosity
Gemma,analysis_type
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,mafac
Gemma,mafaf
Gemma,mafan
Gemma,mega_hgvs
Gemma,num_tested_genes
Gemma,num_variants
Gemma,ordering_clinic
Gemma,reference_genome
Gemma,report_type
Gemma,sample_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Gemma,transcript_id
Gemma,type
Gemma,zygosity
Llama3.1,date_collected
Llama3.1,date_received
Llama3.1,date_verified
Llama3.1,mafac
Llama3.1,mafaf
Llama3.1,mafan
Llama3.1,ordering_clinic
Llama3.1,report_type
Llama3.1,sequencing_scope
Llama3.1,testing_context
Llama3.1,testing_laboratory
Llama3.1,transcript_id
Llama3.1,type
Llama3.1,variant_id
Gemma,analysis_type
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,num_tested_genes
Gemma,num_variants
Gemma,ordering_clinic
Gemma,reference_genome
Gemma,report_type
Gemma,sample_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Llama3.1,analysis_type
Llama3.1,date_collected
Llama3.1,date_received
Llama3.1,date_verified
Llama3.1,num_tested_genes
Llama3.1,num_variants
Llama3.1,ordering_clinic
Llama3.1,reference_genome
Llama3.1,report_type
Llama3.1,sample_type
Llama3.1,sequencing_scope
Llama3.1,testing_context
Llama3.1,testing_laboratory
Llama3.1,date_collected
Llama3.1,date_verified
Llama3.1,exon
Llama3.1,gene_symbol
Llama3.1,gene_symbol
Llama3.1,hgvsp
Llama3.1,interpretation
Llama3.1,mafaf
Llama3.1,ordering_clinic
Llama3.1,report_type
Llama3.1,sample_type
Llama3.1,transcript_id
Llama3.1,type
Gemma,analysis_type
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,num_tested_genes
Gemma,num_variants
Gemma,ordering_clinic
Gemma,reference_genome
Gemma,report_type
Gemma,sample_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Gemma,analysis_type
Gemma,chromosome
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,exon
Gemma,gene_symbol
Gemma,gene_symbol
Gemma,hgvsg
Gemma,mafac
Gemma,mafaf
Gemma,mafan
Gemma,mega_hgvs
Gemma,ordering_clinic
Gemma,reference_genome
Gemma,refseq_mrna
Gemma,report_type
Gemma,sample_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Gemma,transcript_id
Gemma,type
Gemma,variant_id
Gemma,zygosity
Llama3.1,analysis_type
Llama3.1,date_collected
Llama3.1,date_received
Llama3.1,date_verified
Llama3.1,num_tested_genes
Llama3.1,num_variants
Llama3.1,ordering_clinic
Llama3.1,reference_genome
Llama3.1,report_type
Llama3.1,sample_type
Llama3.1,sequencing_scope
Llama3.1,testing_context
Llama3.1,testing_laboratory
Gemma,analysis_type
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,num_tested_genes
Gemma,num_variants
Gemma,ordering_clinic
Gemma,report_type
Gemma,sample_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Mistral,analysis_type
Mistral,date_collected
Mistral,date_received
Mistral,date_verified
Mistral,gene_symbol
Mistral,num_tested_genes
Mistral,num_variants
Mistral,ordering_clinic
Mistral,reference_genome
Mistral,report_type
Mistral,sample_type
Mistral,sequencing_scope
Mistral,testing_context
Mistral,testing_laboratory
Mistral,interpretation
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,exon
Gemma,hgvsg
Gemma,hgvsp
Gemma,interpretation
Gemma,mafaf
Gemma,num_tested_genes
Gemma,ordering_clinic
Gemma,report_type
Gemma,sample_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Gemma,transcript_id
Gemma,type
Llama3.1,analysis_type
Llama3.1,date_collected
Llama3.1,date_received
Llama3.1,date_verified
Llama3.1,num_tested_genes
Llama3.1,num_variants
Llama3.1,ordering_clinic
Llama3.1,reference_genome
Llama3.1,report_type
Llama3.1,sample_type
Llama3.1,sequencing_scope
Llama3.1,testing_context
Llama3.1,testing_laboratory
Llama3.1,analysis_type
Llama3.1,date_collected
Llama3.1,date_received
Llama3.1,date_verified
Llama3.1,num_tested_genes
Llama3.1,num_variants
Llama3.1,ordering_clinic
Llama3.1,reference_genome
Llama3.1,report_type
Llama3.1,sequencing_scope
Llama3.1,testing_context
Llama3.1,testing_laboratory
Mistral,analysis_type
Mistral,date_collected
Mistral,date_verified
Mistral,mafaf
Mistral,ordering_clinic
Mistral,report_type
Mistral,testing_context
Mistral,testing_laboratory
Mistral,transcript_id
Mistral,type
Llama3.1,date_collected
Llama3.1,date_received
Llama3.1,date_verified
Llama3.1,gene_symbol
Llama3.1,gene_symbol
Llama3.1,hgvsg
Llama3.1,mafac
Llama3.1,mafan
Llama3.1,mega_hgvs
Llama3.1,report_type
Llama3.1,testing_context
Llama3.1,testing_laboratory
Llama3.1,transcript_id
Llama3.1,type
Llama3.1,zygosity
Gemma,analysis_type
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,interpretation
Gemma,num_tested_genes
Gemma,num_variants
Gemma,ordering_clinic
Gemma,reference_genome
Gemma,report_type
Gemma,sample_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Mistral,analysis_type
Mistral,date_collected
Mistral,date_received
Mistral,date_verified
Mistral,num_tested_genes
Mistral,num_variants
Mistral,ordering_clinic
Mistral,reference_genome
Mistral,report_type
Mistral,sample_type
Mistral,sequencing_scope
Mistral,testing_context
Mistral,testing_laboratory
Gemma,analysis_type
Gemma,chromosome
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,exon
Gemma,hgvsc
Gemma,hgvsg
Gemma,hgvsp
Gemma,interpretation
Gemma,mafac
Gemma,mafaf
Gemma,mafan
Gemma,mega_hgvs
Gemma,num_tested_genes
Gemma,num_variants
Gemma,ordering_clinic
Gemma,reference_genome
Gemma,report_type
Gemma,sample_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Gemma,transcript_id
Gemma,type
Gemma,variant_id
Gemma,zygosity
Llama3.1,analysis_type
Llama3.1,date_collected
Llama3.1,date_received
Llama3.1,date_verified
Llama3.1,num_tested_genes
Llama3.1,num_variants
Llama3.1,ordering_clinic
Llama3.1,reference_genome
Llama3.1,report_type
Llama3.1,sample_type
Llama3.1,sequencing_scope
Llama3.1,testing_context
Llama3.1,testing_laboratory
Gemma,analysis_type
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,num_tested_genes
Gemma,num_variants
Gemma,ordering_clinic
Gemma,reference_genome
Gemma,report_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Llama3.1,analysis_type
Llama3.1,date_collected
Llama3.1,date_received
Llama3.1,date_verified
Llama3.1,gene_symbol
Llama3.1,num_tested_genes
Llama3.1,num_variants
Llama3.1,ordering_clinic
Llama3.1,reference_genome
Llama3.1,report_type
Llama3.1,sample_type
Llama3.1,sequencing_scope
Llama3.1,testing_context
Llama3.1,testing_laboratory
Llama3.1,interpretation
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,exon
Gemma,hgvsc
Gemma,hgvsg
Gemma,mafac
Gemma,mafan
Gemma,mega_hgvs
Gemma,ordering_clinic
Gemma,report_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Gemma,transcript_id
Gemma,type
Gemma,variant_id
Llama3.1,date_collected
Llama3.1,date_received
Llama3.1,date_verified
Llama3.1,exon
Llama3.1,gene_symbol
Llama3.1,gene_symbol
Llama3.1,hgvsc
Llama3.1,hgvsp
Llama3.1,interpretation
Llama3.1,mafaf
Llama3.1,mega_hgvs
Llama3.1,ordering_clinic
Llama3.1,report_type
Llama3.1,sample_type
Llama3.1,testing_context
Llama3.1,testing_laboratory
Llama3.1,transcript_id
Llama3.1,type
Mistral,analysis_type
Mistral,date_collected
Mistral,date_received
Mistral,date_verified
Mistral,num_tested_genes
Mistral,num_variants
Mistral,ordering_clinic
Mistral,reference_genome
Mistral,report_type
Mistral,sample_type
Mistral,sequencing_scope
Mistral,testing_context
Mistral,testing_laboratory
Gemma,analysis_type
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,interpretation
Gemma,num_tested_genes
Gemma,num_variants
Gemma,ordering_clinic
Gemma,reference_genome
Gemma,report_type
Gemma,sample_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Mistral,analysis_type
Mistral,date_collected
Mistral,date_verified
Mistral,num_tested_genes
Mistral,num_variants
Mistral,ordering_clinic
Mistral,reference_genome
Mistral,report_type
Mistral,sequencing_scope
Mistral,testing_context
Mistral,testing_laboratory
Gemma,analysis_type
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,num_tested_genes
Gemma,num_variants
Gemma,ordering_clinic
Gemma,reference_genome
Gemma,report_type
Gemma,sample_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Mistral,gene_symbol
Mistral,gene_symbol
Mistral,ordering_clinic
Mistral,reference_genome
Mistral,report_type
Mistral,sequencing_scope
Mistral,testing_laboratory
Mistral,transcript_id
Mistral,type
Mistral,zygosity
Gemma,analysis_type
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,num_tested_genes
Gemma,num_variants
Gemma,ordering_clinic
Gemma,reference_genome
Gemma,report_type
Gemma,sample_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Gemma,analysis_type
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,num_tested_genes
Gemma,num_variants
Gemma,ordering_clinic
Gemma,reference_genome
Gemma,report_type
Gemma,sample_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Llama3.1,analysis_type
Llama3.1,date_collected
Llama3.1,date_received
Llama3.1,date_verified
Llama3.1,num_tested_genes
Llama3.1,num_variants
Llama3.1,ordering_clinic
Llama3.1,reference_genome
Llama3.1,report_type
Llama3.1,sequencing_scope
Llama3.1,testing_context
Llama3.1,testing_laboratory
Mistral,analysis_type
Mistral,date_collected
Mistral,date_received
Mistral,date_verified
Mistral,num_tested_genes
Mistral,num_variants
Mistral,ordering_clinic
Mistral,reference_genome
Mistral,report_type
Mistral,sample_type
Mistral,sequencing_scope
Mistral,testing_context
Mistral,testing_laboratory
Mistral,analysis_type
Mistral,date_collected
Mistral,date_received
Mistral,date_verified
Mistral,num_tested_genes
Mistral,num_variants
Mistral,ordering_clinic
Mistral,reference_genome
Mistral,report_type
Mistral,sample_type
Mistral,sequencing_scope
Mistral,testing_context
Mistral,testing_laboratory
Gemma,analysis_type
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,num_tested_genes
Gemma,num_variants
Gemma,ordering_clinic
Gemma,reference_genome
Gemma,report_type
Gemma,sample_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Gemma,zygosity
Mistral,analysis_type
Mistral,date_collected
Mistral,date_received
Mistral,date_verified
Mistral,num_tested_genes
Mistral,num_variants
Mistral,ordering_clinic
Mistral,reference_genome
Mistral,report_type
Mistral,sample_type
Mistral,sequencing_scope
Mistral,testing_context
Mistral,testing_laboratory
Mistral,analysis_type
Mistral,date_collected
Mistral,date_received
Mistral,date_verified
Mistral,num_tested_genes
Mistral,num_variants
Mistral,ordering_clinic
Mistral,reference_genome
Mistral,report_type
Mistral,sample_type
Mistral,sequencing_scope
Mistral,testing_context
Mistral,testing_laboratory
Llama3.1,analysis_type
Llama3.1,date_collected
Llama3.1,date_received
Llama3.1,date_verified
Llama3.1,num_tested_genes
Llama3.1,num_variants
Llama3.1,ordering_clinic
Llama3.1,reference_genome
Llama3.1,report_type
Llama3.1,sample_type
Llama3.1,sequencing_scope
Llama3.1,testing_context
Llama3.1,testing_laboratory
Gemma,analysis_type
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,interpretation
Gemma,num_tested_genes
Gemma,num_variants
Gemma,ordering_clinic
Gemma,reference_genome
Gemma,report_type
Gemma,sample_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Mistral,analysis_type
Mistral,date_collected
Mistral,date_verified
Mistral,mafaf
Mistral,ordering_clinic
Mistral,report_type
Mistral,sequencing_scope
Mistral,testing_context
Mistral,testing_laboratory
Mistral,transcript_id
Mistral,type
Llama3.1,date_collected
Llama3.1,gene_symbol
Llama3.1,gene_symbol
Llama3.1,mafaf
Llama3.1,mega_hgvs
Llama3.1,ordering_clinic
Llama3.1,report_type
Llama3.1,sample_type
Llama3.1,sequencing_scope
Llama3.1,testing_context
Llama3.1,testing_laboratory
Llama3.1,transcript_id
Llama3.1,type
Llama3.1,zygosity
Llama3.1,analysis_type
Llama3.1,date_collected
Llama3.1,date_received
Llama3.1,date_verified
Llama3.1,num_tested_genes
Llama3.1,num_variants
Llama3.1,ordering_clinic
Llama3.1,reference_genome
Llama3.1,report_type
Llama3.1,sample_type
Llama3.1,sequencing_scope
Llama3.1,testing_context
Llama3.1,testing_laboratory
Llama3.1,analysis_type
Llama3.1,date_collected
Llama3.1,date_received
Llama3.1,date_verified
Llama3.1,num_tested_genes
Llama3.1,ordering_clinic
Llama3.1,reference_genome
Llama3.1,report_type
Llama3.1,sequencing_scope
Llama3.1,testing_context
Llama3.1,testing_laboratory
Gemma,analysis_type
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,mafaf
Gemma,num_tested_genes
Gemma,ordering_clinic
Gemma,report_type
Gemma,sequencing_scope
Gemma,testing_context
